###### GATHER WARNING ######
# NO Gathering method specified ! 
# Thus : if the system is requested to be gathered, 
# the gathering will be done according to the 1st atom of the previous molecule
#                      selected      heavy sasa
# time                    atoms           atoms
   86.500000000     3.611495188     3.611495188
   87.000000000     3.614389867     3.614389867
   87.500000000     3.613085148     3.613085148
   88.000000000     3.612285312     3.612285312
   88.500000000     3.614252742     3.614252742
   89.000000000     3.612878832     3.612878832
   89.500000000     3.613291226     3.613291226
   90.000000000     3.612992892     3.612992892
   90.500000000     3.614385800     3.614385800
   91.000000000     3.612970460     3.612970460
   91.500000000     3.612192149     3.612192149
   92.000000000     3.612760928     3.612760928
   92.500000000     3.613016992     3.613016992
   93.000000000     3.614412779     3.614412779
   93.500000000     3.614108912     3.614108912
   94.000000000     3.613838646     3.613838646
   94.500000000     3.613149592     3.613149592
   95.000000000     3.612827667     3.612827667
   95.500000000     3.613836240     3.613836240
   96.000000000     3.614750270     3.614750270
   96.500000000     3.613470199     3.613470199
   97.000000000     3.612659362     3.612659362
   97.500000000     3.613530577     3.613530577
   98.000000000     3.615816715     3.615816715
   98.500000000     3.612803697     3.612803697
   99.000000000     3.614178394     3.614178394
   99.500000000     3.612972908     3.612972908
#
# ave.             3.6128865808    3.6128865808
#
# average contribution per selected heavy atom
#
#   atom   residue name            SASA      % selected    % sasa atoms
#    1:2    1  ALA    N         0.41551        11.50091        11.50091 
#    1:4    1  ALA   CA         0.54790        15.16528        15.16528 
#    1:5    1  ALA   CB         0.57797        15.99747        15.99747 
#    1:6    1  ALA    C         0.00000         0.00000         0.00000 
#    1:7    1  ALA    O         0.24839         6.87499         6.87499 
#    1:8    2  ALA    N         0.00000         0.00000         0.00000 
#   1:10    2  ALA   CA         0.43309        11.98743        11.98743 
#   1:11    2  ALA   CB         0.56648        15.67938        15.67938 
#   1:12    2  ALA    C         0.06897         1.90903         1.90903 
#   1:13    2  ALA   O1         0.38930        10.77535        10.77535 
#   1:14    2  ALA   O2         0.36527        10.11016        10.11016 
#
# total                         3.61289       100.00000       100.00000 
